src_audio	tgt_audio
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_fear.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_fear.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_angry.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_angry.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_happy.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_happy.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_fear.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_fear.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_neutral.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_neutral.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_happy.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_happy.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_angry.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_angry.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_neutral.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_neutral.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_sad.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_sad.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_happy.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_happy.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_sad.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_sad.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_surprise.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_201_surprise.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_surprise.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_204_surprise.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_202_angry.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_202_angry.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_205_angry.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_205_angry.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_neutral.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_203_neutral.wav
/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_202_fear.wav	/root/autodl-tmp/CosyVoice_dev/examples/libritts/cosyvoice2/data/casia-grpo/valid/receive/ZhaoZuoxiang_202_fear.wav
